% fringe_data_nov02.txt
%
% Reformated but otherwise unadjusted version of Margie Weiler's
% 19 November 2002 fringe model parameters.  This is based on
% the September 2002 fringe data except Margie has added amplitude
% and phase values for previously "bad" channels.
%
% Last updated: Scott Hannon, 20 November 2002
%
% ID  LMID M  ind   freq     amplitude      phase        period        beta
%---- ---- -- --- -------- ------------- ------------- ------------- ---------
  108 2270 12  23  676.156 1.2977379e-02 7.0819452e+02 8.5100000e-01 9.200e-05
  109 2269 12  22  676.415 1.5179549e-02 7.0819391e+02 8.5100000e-01 9.200e-05
  110 2268 12  21  676.675 1.4025106e-02 7.0841321e+02 8.5100000e-01 9.200e-05
  111 2267 12  20  676.935 0.0000000e+00 7.0824134e+02 8.5100000e-01 9.200e-05
  112 2266 12  19  677.195 1.0761101e-02 7.0823755e+02 8.5100000e-01 9.200e-05
  113 2265 12  18  677.455 7.2346290e-03 7.0823642e+02 8.5100000e-01 9.200e-05
  114 2264 12  17  677.716 1.0407497e-02 7.0823208e+02 8.5100000e-01 9.200e-05
  115 2263 12  16  677.977 1.6970310e-03 7.0823001e+02 8.5100000e-01 9.200e-05
  116 2262 12  15  678.238 5.5468500e-04 7.0823954e+02 8.5100000e-01 9.200e-05
  117 2261 12  14  678.499 5.4956920e-03 7.0823652e+02 8.5100000e-01 9.200e-05
  118 2260 12  13  678.760 1.7132291e-02 7.0824504e+02 8.5100000e-01 9.200e-05
  119 2259 12  12  679.022 8.0465900e-03 7.0824001e+02 8.5100000e-01 9.200e-05
  120 2258 12  11  679.284 0.0000000e+00 7.0823897e+02 8.5100000e-01 9.200e-05
  121 2257 12  10  679.546 4.1002600e-03 7.0826750e+02 8.5100000e-01 9.200e-05
  122 2256 12   9  679.808 3.9546720e-03 7.0831432e+02 8.5100000e-01 9.200e-05
  123 2255 12   8  680.071 4.3997770e-03 7.0827670e+02 8.5100000e-01 9.200e-05
  124 2254 12   7  680.333 7.3186510e-03 7.0847411e+02 8.5100000e-01 9.200e-05
  125 2253 12   6  680.596 6.8286320e-03 7.0778112e+02 8.5100000e-01 9.200e-05
  126 2252 12   5  680.859 6.8286320e-03 7.0797720e+02 8.5100000e-01 9.200e-05
  127 2251 12   4  681.123 1.0226154e-02 7.0815586e+02 8.5100000e-01 9.200e-05
  128 2250 12   3  681.386 6.8286320e-03 7.0740009e+02 8.5100000e-01 9.200e-05
  129 2249 12   2  681.650 4.9479360e-03 7.0762612e+02 8.5100000e-01 9.200e-05
  130 2248 12   1  681.914 6.5900010e-03 7.0787545e+02 8.5100000e-01 9.200e-05
  131 2247 11 144  687.529 2.9180000e-03 7.0805986e+02 8.5100000e-01 9.200e-05
  132 2246 11 143  687.798 4.5180000e-03 7.0817586e+02 8.5100000e-01 9.200e-05
  133 2245 11 142  688.067 6.1180000e-03 7.0829186e+02 8.5100000e-01 9.200e-05
  134 2244 11 141  688.337 7.7180000e-03 7.0840786e+02 8.5100000e-01 9.200e-05
  135 2243 11 140  688.607 8.0000000e-03 7.0854096e+02 8.5100000e-01 9.200e-05
  136 2242 11 139  688.877 9.0000000e-03 7.0848096e+02 8.5100000e-01 9.200e-05
  137 2241 11 138  689.147 1.4000000e-02 7.0854096e+02 8.5100000e-01 9.200e-05
  138 2240 11 137  689.418 1.0226154e-02 7.0862028e+02 8.5100000e-01 9.200e-05
  139 2239 11 136  689.689 1.3483585e-02 7.0857502e+02 8.5100000e-01 9.200e-05
  140 2238 11 135  689.960 6.2254100e-03 7.0845989e+02 8.5100000e-01 9.200e-05
  141 2237 11 134  690.231 8.7738200e-03 7.0845793e+02 8.5100000e-01 9.200e-05
  142 2236 11 133  690.502 7.8646720e-03 7.0875111e+02 8.5100000e-01 9.200e-05
  143 2235 11 132  690.774 0.0000000e+00 7.0853872e+02 8.5100000e-01 9.200e-05
  144 2234 11 131  691.046 8.7738200e-03 7.0850769e+02 8.5100000e-01 9.200e-05
  145 2233 11 130  691.318 1.5000000e-02 7.0847096e+02 8.5100000e-01 9.200e-05
  146 2232 11 129  691.590 1.1000000e-02 7.0855096e+02 8.5100000e-01 9.200e-05
  147 2231 11 128  691.863 1.7972057e-02 7.0847474e+02 8.5100000e-01 9.200e-05
  148 2230 11 127  692.135 1.5419784e-02 7.0848853e+02 8.5100000e-01 9.200e-05
  149 2229 11 126  692.408 1.1732991e-02 7.0848200e+02 8.5100000e-01 9.200e-05
  150 2228 11 125  692.681 1.1536669e-02 7.0845498e+02 8.5100000e-01 9.200e-05
  151 2227 11 124  692.955 1.1114175e-02 7.0843984e+02 8.5100000e-01 9.200e-05
  152 2226 11 123  693.229 9.2022620e-03 7.0843530e+02 8.5100000e-01 9.200e-05
  153 2225 11 122  693.502 1.2226117e-02 7.0841659e+02 8.5100000e-01 9.200e-05
  154 2224 11 121  693.776 1.2259257e-02 7.0842168e+02 8.5100000e-01 9.200e-05
  155 2223 11 120  694.051 1.2979994e-02 7.0858282e+02 8.5100000e-01 9.200e-05
